npop,nger,Pc,Pm,k,n_elite,Melhor μ,Melhor σ,Média μ,Média σ
200,100,1.0,0.1,2,0,13171298.1,89098.50327974091,9157381.007,302783.1909026964
200,100,0.8,0.05,2,2,13507907.2,28434.92183495499,10252809.885000002,194897.31411573428
200,100,0.8,0.05,2,0,13217098.7,100270.85989962387,9986544.033000002,170763.0238897684
200,100,0.8,0.1,2,2,13441230.6,37255.0234255731,9363255.76,127028.39053521132
200,100,0.8,0.1,2,0,13191830.6,127954.07078026084,9289535.881000001,291124.9615741555
200,200,1.0,0.05,2,2,13507174.1,10186.031812732572,10165951.0185,302935.2998197181
200,200,1.0,0.05,2,0,13176080.8,94791.55946897382,9915613.861499999,113595.4962877497
200,200,1.0,0.1,2,2,13463018.3,33101.219249598646,9135129.0095,231582.42929788007
200,200,1.0,0.1,2,0,13139072.3,56771.86819200157,9104987.9815,357446.80635579803
200,200,0.8,0.05,2,2,13512126.6,18802.970787617578,10206280.129500002,226372.71856757373
200,200,0.8,0.05,2,0,13235574.6,105130.55732868536,10048075.432500001,234327.58470278874
200,200,0.8,0.1,2,2,13454348.1,33993.44836714863,9342547.7185,209794.75595964462
200,200,0.8,0.1,2,0,13193583.4,174247.81079554485,9149607.296,266577.4128610386
200,500,1.0,0.05,2,2,13528256.2,22674.62977338329,9980866.5545,200137.62106411933
200,500,1.0,0.05,2,0,13237745.1,76200.90086665642,9996234.5635,130502.53600945973
200,500,1.0,0.1,2,2,13503935.9,21767.867899498102,9345215.294499999,287084.78638750577
200,500,1.0,0.1,2,0,13109947.0,108523.29297805148,9182638.307,331580.0990663468
200,500,0.8,0.05,2,2,13532247.1,14376.920786107157,10135739.1125,229523.93866827665
200,500,0.8,0.05,2,0,13187473.2,125119.69539269188,9998000.213499999,228853.03239450543
200,500,0.8,0.1,2,2,13502547.1,22410.75145304146,9310412.737,268600.02287151356
200,500,0.8,0.1,2,0,13161202.8,129061.77215566197,9296458.113499999,186820.83026539334
500,100,1.0,0.05,2,2,13508219.0,39390.332745484644,10060959.8196,192674.431399271
500,100,1.0,0.05,2,0,13320654.0,59224.25523550296,9915254.946199998,135380.03414229152
500,100,1.0,0.1,2,2,13455795.6,33195.071249208064,9285313.668,170568.3384258241
500,100,1.0,0.1,2,0,13279935.0,72525.41051796949,9196149.4576,188884.320737749
500,100,0.8,0.05,2,2,13490961.3,25907.402116190653,10170428.8428,164310.51399546355
500,100,0.8,0.05,2,0,13305299.1,80342.72214637739,9997351.366799999,121512.28618308879
500,100,0.8,0.1,2,2,13462892.2,29365.71527070301,9359313.297400001,242089.09354676484
500,100,0.8,0.1,2,0,13227721.9,87879.42317795446,9323057.649999999,154307.1838066987
500,200,1.0,0.05,2,2,13522700.0,9878.056316907694,9977415.971,135962.22782462795
500,200,1.0,0.05,2,0,13301305.7,63756.57597150273,9924214.5792,196588.3167092117
500,200,1.0,0.1,2,2,13496390.4,30359.68387253069,9167083.696200002,156280.8874245817
500,200,1.0,0.1,2,0,13216835.4,58200.94422464295,9242745.0924,222134.30966325596
500,200,0.8,0.05,2,2,13518205.1,23368.171680514504,10059014.200800002,192580.34102929465
500,200,0.8,0.05,2,0,13289772.7,73984.30385162788,9954733.6344,217948.63527784124
500,200,0.8,0.1,2,2,13482785.6,32760.425773179442,9389988.820999999,107081.59458312826
500,200,0.8,0.1,2,0,13191715.8,99497.95711048544,9202334.428,131115.5911435214
500,500,1.0,0.05,2,2,13527964.9,18857.000050114017,9963928.866,126622.7678674797
500,500,1.0,0.05,2,0,13282891.2,51061.57058258197,9869267.368799997,155929.2325723174
500,500,1.0,0.1,2,2,13512676.9,24206.545670334708,9182635.107800001,172051.27896150027
500,500,1.0,0.1,2,0,13219370.2,66070.24981305882,9239523.0824,126475.27872470283
500,500,0.8,0.05,2,2,13531162.2,19129.69923339099,10009146.075,89174.63176117814
500,500,0.8,0.05,2,0,13321042.7,67065.23574557835,10096828.8516,190017.11721114969
500,500,0.8,0.1,2,2,13518711.5,23875.01998009635,9231664.925,155058.70978928325
500,500,0.8,0.1,2,0,13226704.8,93117.71301186473,9350224.2898,172320.77195786
